Incentive_Key,State,Incentive_Type,Creation_Date,Start Year,End Year
3153,Oregon,State Rebate Program,21-Nov-08,2008,
4052,Pennsylvania,Utility Rebate Program,26-Mar-10,2010,
3111,Connecticut,Utility Rebate Program,04-Nov-08,2008,
3513,South Dakota,Utility Rebate Program,14-Jul-09,2009,
3017,Massachusetts,Utility Rebate Program,22-Jul-08,2008,
3260,California,Utility Rebate Program,11-Feb-09,2009,
3140,North Dakota,Utility Loan Program,17-Nov-08,2008,
3172,Washington,Utility Rebate Program,10-Dec-08,2008,
2601,Nevada,Utility Rebate Program,07-Jun-07,2007,
3277,Wisconsin,Utility Rebate Program,18-Feb-09,2009,
2897,Iowa,Utility Rebate Program,19-Mar-08,2008,
3339,Minnesota,Utility Rebate Program,09-Apr-09,2009,
2050,Wisconsin,Utility Rebate Program,28-Aug-06,2006,
3999,Kentucky,State Grant Program,15-Jan-10,2010,
2260,Minnesota,Utility Rebate Program,22-Sep-06,2006,
2253,Minnesota,Utility Rebate Program,21-Sep-06,2006,
2377,California,Utility Rebate Program,05-Feb-07,2007,2009
2318,Oregon,Utility Rebate Program,03-Oct-06,2006,2010
3643,California,Utility Rebate Program,28-Aug-09,2009,
3644,California,Utility Rebate Program,28-Aug-09,2009,
2370,New Hampshire,Utility Rebate Program,04-Jan-07,2007,
3019,New York,Utility Rebate Program,23-Jul-08,2008,
2074,New Hampshire,State Loan Program,28-Aug-06,2006,
1866,California,Utility Rebate Program,27-Jul-06,2006,
1948,Minnesota,Utility Rebate Program,10-Aug-06,2006,
1942,Minnesota,Utility Rebate Program,07-Aug-06,2006,
1938,Minnesota,Utility Rebate Program,07-Aug-06,2006,2010
2014,Texas,Utility Rebate Program,23-Aug-06,2006,
3075,Illinois,State Rebate Program,19-Sep-08,2008,
2184,Oregon,Utility Rebate Program,15-Sep-06,2006,
2207,Washington,Utility Rebate Program,18-Sep-06,2006,
2205,Washington,Utility Rebate Program,18-Sep-06,2006,
2208,Washington,Utility Rebate Program,18-Sep-06,2006,
1251,New York,Industry Recruitment/Support,22-Nov-05,2005,2007
1323,Connecticut,Utility Rebate Program,11-Apr-06,2006,
1428,California,Utility Rebate Program,26-Apr-06,2006,
1279,Ohio,State Grant Program,25-Jan-06,2006,
1379,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
3600,New Mexico,Utility Rebate Program,11-Aug-09,2009,2010
1553,Kentucky,Utility Rebate Program,31-May-06,2006,
683,North Carolina,State Loan Program,12-Feb-02,2002,
1313,Connecticut,Utility Rebate Program,10-Apr-06,2006,
1320,Connecticut,Utility Rebate Program,11-Apr-06,2006,
1383,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1374,New Hampshire,Utility Rebate Program,18-Apr-06,2006,
4005,California,Utility Rebate Program,26-Feb-10,2010,2010
1381,Massachusetts,Utility Rebate Program,19-Apr-06,2006,
1390,Massachusetts,Utility Rebate Program,19-Apr-06,2006,2007
1394,New Hampshire,Utility Rebate Program,19-Apr-06,2006,
1420,California,Utility Rebate Program,24-Apr-06,2006,
4119,Colorado,Local Rebate Program,03-May-10,2010,
4173,Idaho,Utility Rebate Program,27-May-10,2010,
1708,Washington,Utility Rebate Program,30-Jun-06,2006,
1429,California,Utility Rebate Program,26-Apr-06,2006,
1456,California,Utility Rebate Program,03-May-06,2006,
1458,California,Utility Rebate Program,03-May-06,2006,
1533,South Dakota,Utility Loan Program,28-May-06,2006,
3986,Pennsylvania,Utility Rebate Program,17-Feb-10,2010,
1517,Iowa,Utility Rebate Program,25-May-06,2006,2008
1556,Wisconsin,Utility Rebate Program,31-May-06,2006,2009
1574,Iowa,Utility Rebate Program,05-Jun-06,2006,
1575,Iowa,Utility Rebate Program,05-Jun-06,2006,
1580,Colorado,Utility Rebate Program,05-Jun-06,2006,
1611,California,Utility Rebate Program,19-Jun-06,2006,
1613,California,Utility Rebate Program,19-Jun-06,2006,
1628,Idaho,Utility Rebate Program,22-Jun-06,2006,2010
3007,New York,State Rebate Program,16-Jul-08,2008,
1629,Washington,Utility Rebate Program,22-Jun-06,2006,2010
1637,Idaho,Utility Rebate Program,22-Jun-06,2006,2010
1638,Washington,Utility Rebate Program,22-Jun-06,2006,2009
1643,Idaho,Utility Rebate Program,22-Jun-06,2006,
1658,Montana,Utility Rebate Program,23-Jun-06,2006,
2640,Ohio,Utility Rebate Program,29-Jul-07,2007,
1684,California,Utility Rebate Program,27-Jun-06,2006,
1620,Idaho,Utility Rebate Program,21-Jun-06,2006,
4063,North Dakota,Utility Rebate Program,05-Apr-10,2010,
4216,Delaware,State Rebate Program,18-Jun-10,2010,
4150,Illinois,State Grant Program,13-May-10,2010,
3385,Maryland,Utility Rebate Program,19-May-09,2009,
3254,Illinois,Utility Rebate Program,09-Feb-09,2009,
3327,Nebraska,Utility Rebate Program,01-Apr-09,2009,
2618,Idaho,Utility Rebate Program,27-Jun-07,2007,
2653,Texas,Utility Rebate Program,01-Aug-07,2007,
2679,Vermont,State Rebate Program,15-Aug-07,2007,2009
207,Idaho,State Loan Program,01-Jan-00,2000,
3577,Minnesota,Utility Grant Program,05-Aug-09,2009,
4203,District of Columbia,Utility Rebate Program,09-Jun-10,2010,
3623,North Carolina,Utility Grant Program,20-Aug-09,2009,2010
4257,California,Utility Rebate Program,16-Jul-10,2010,
4245,New York,Utility Rebate Program,07-Jul-10,2010,
4254,Michigan,Utility Rebate Program,15-Jul-10,2010,
4266,Maryland,Utility Rebate Program,26-Jul-10,2010,
3442,South Carolina,Utility Rebate Program,15-Jun-09,2009,
3444,Minnesota,Utility Rebate Program,15-Jun-09,2009,
4201,Maryland,Utility Rebate Program,09-Jun-10,2010,
4135,Pennsylvania,Utility Rebate Program,10-May-10,2010,
4132,Pennsylvania,Utility Rebate Program,06-May-10,2010,
4136,Pennsylvania,Utility Rebate Program,10-May-10,2010,
4172,Washington,Utility Rebate Program,26-May-10,2010,
4299,Michigan,Utility Rebate Program,19-Aug-10,2010,
4325,Wisconsin,State Rebate Program,31-Aug-10,2010,
1352,Rhode Island,Utility Rebate Program,17-Apr-06,2006,
1577,Minnesota,Utility Rebate Program,05-Jun-06,2006,
1315,Connecticut,Utility Grant Program,10-Apr-06,2006,
1316,Connecticut,Utility Rebate Program,10-Apr-06,2006,
2195,Washington,Utility Rebate Program,18-Sep-06,2006,
3594,Michigan,Utility Rebate Program,10-Aug-09,2009,
3598,New Mexico,Utility Rebate Program,11-Aug-09,2009,
3606,South Carolina,Utility Rebate Program,12-Aug-09,2009,
262,Pennsylvania,Renewables Portfolio Standard,03-Dec-04,2004,
3256,Arizona,Utility Rebate Program,09-Feb-09,2009,
2013,Texas,Utility Rebate Program,22-Aug-06,2006,
2004,New York,Utility Rebate Program,21-Aug-06,2006,
1530,Minnesota,Utility Loan Program,28-May-06,2006,
3103,Iowa,Utility Loan Program,29-Oct-08,2008,2009
1531,Minnesota,Utility Rebate Program,28-May-06,2006,
2458,Arizona,Utility Rebate Program,20-Mar-07,2007,
2176,New Hampshire,Utility Rebate Program,15-Sep-06,2006,
2449,Minnesota,Utility Rebate Program,19-Mar-07,2007,
3979,Kentucky,State Loan Program,16-Feb-10,2010,
3074,Illinois,Utility Rebate Program,19-Sep-08,2008,
3977,Wisconsin,State Rebate Program,15-Feb-10,2010,
3086,California,Utility Rebate Program,02-Oct-08,2008,
3118,Arizona,Utility Rebate Program,05-Nov-08,2008,
1931,Minnesota,Utility Rebate Program,04-Aug-06,2006,
1933,Minnesota,Utility Rebate Program,04-Aug-06,2006,2008
2407,Idaho,Utility Rebate Program,06-Mar-07,2007,
2412,Utah,Utility Rebate Program,06-Mar-07,2007,
2415,Washington,Utility Rebate Program,07-Mar-07,2007,
3474,New York,Utility Rebate Program,01-Jul-09,2009,
3476,New York,Utility Rebate Program,01-Jul-09,2009,
1159,New York,State Rebate Program,16-Jun-05,2005,2007
2438,Oregon,State Rebate Program,13-Mar-07,2007,
1924,California,Utility Rebate Program,03-Aug-06,2006,
1397,Massachusetts,Utility Rebate Program,20-Apr-06,2006,
1399,Connecticut,Utility Rebate Program,20-Apr-06,2006,
1396,Massachusetts,Utility Rebate Program,20-Apr-06,2006,
2825,Iowa,Utility Rebate Program,12-Dec-07,2007,
3992,Michigan,Utility Rebate Program,22-Feb-10,2010,
3211,Oregon,Utility Rebate Program,13-Jan-09,2009,
3129,Oregon,Utility Rebate Program,12-Nov-08,2008,
2425,New York,State Rebate Program,09-Mar-07,2007,2008
2448,Minnesota,Utility Rebate Program,19-Mar-07,2007,
3484,South Dakota,Utility Rebate Program,02-Jul-09,2009,2009
3776,Michigan,Utility Rebate Program,03-Dec-09,2009,2009
4145,Iowa,Utility Rebate Program,12-May-10,2010,
3347,Minnesota,Utility Rebate Program,16-Apr-09,2009,
3782,Michigan,Utility Rebate Program,04-Dec-09,2009,2009
3691,District of Columbia,Utility Rebate Program,23-Sep-09,2009,2010
3778,Michigan,Utility Rebate Program,04-Dec-09,2009,
3488,Massachusetts,Local Rebate Program,08-Jul-09,2009,
3637,Arkansas,Utility Rebate Program,26-Aug-09,2009,
3654,Arkansas,Utility Rebate Program,07-Sep-09,2009,
3795,Michigan,Utility Rebate Program,07-Dec-09,2009,
3930,Connecticut,Utility Rebate Program,25-Jan-10,2010,
3873,Pennsylvania,Utility Rebate Program,05-Jan-10,2010,
3508,Iowa,Utility Rebate Program,14-Jul-09,2009,
3530,Ohio,Utility Rebate Program,15-Jul-09,2009,
3747,Idaho,Utility Rebate Program,30-Oct-09,2009,
4244,New York,Utility Rebate Program,07-Jul-10,2010,
3733,Maryland,Utility Rebate Program,21-Oct-09,2009,
3801,Tennessee,State Loan Program,10-Aug-09,2009,
3726,Virginia,State Rebate Program,09-Oct-09,2009,2010
3789,Michigan,Utility Rebate Program,07-Dec-09,2009,2009
4317,Wisconsin,State Rebate Program,24-Aug-10,2010,
3793,Michigan,Utility Rebate Program,07-Dec-09,2009,
3794,Michigan,Utility Rebate Program,07-Dec-09,2009,
3799,Maryland,State Loan Program,07-Dec-09,2009,
3934,Connecticut,Utility Rebate Program,26-Jan-10,2010,
3807,Michigan,Utility Rebate Program,08-Dec-09,2009,
3810,Michigan,Utility Rebate Program,08-Dec-09,2009,
4056,Vermont,State Rebate Program,01-Apr-10,2010,
3812,Illinois,Utility Rebate Program,09-Dec-09,2009,
3818,Michigan,Utility Rebate Program,10-Dec-09,2009,
